2018/03/21 15:09:02;0;B;Zdarzenie;8;Not Recognized event;Zdarzenie aktywne!;;0;
2018/03/21 15:09:02;0;B;Zdarzenie;16;train detectors in track 1 are switched on/Tor 1 aktywny;Zdarzenie aktywne!;;0;
2018/03/21 15:09:02;0;B;Zdarzenie;20;Not Recognized event;Zdarzenie aktywne!;;0;
2018/03/21 15:09:16;0;B;Zdarzenie;14;Not Recognized event;Zdarzenie aktywne!;;0;
2018/03/21 15:09:16;0;B;Zdarzenie;16;train detectors in track 1 are switched on/Tor 1 aktywny;Zdarzenie nie aktywne;;0;
2018/03/21 15:09:16;0;B;Zdarzenie;20;Not Recognized event;Zdarzenie nie aktywne;;0;
2018/03/21 15:09:16;0;B;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 15:09:16;0;B;Zdarzenie;3;Not Recognized event;Zdarzenie nie aktywne;;0;
2018/03/21 15:09:20;0;B;Zdarzenie;8;Not Recognized event;Zdarzenie nie aktywne;;0;
2018/03/21 15:09:24;0;B;Zdarzenie;0;Not Recognized event;Zdarzenie nie aktywne;;0;
2018/03/21 15:09:24;0;B;Zdarzenie;14;Not Recognized event;Zdarzenie nie aktywne;;0;
2018/03/21 15:10:00;0;B;Zdarzenie;0;Not Recognized event;Zdarzenie aktywne!;;0;
2018/03/21 15:10:00;0;B;Zdarzenie;13;Not Recognized event;Zdarzenie aktywne!;;0;
2018/03/21 15:10:05;0;B;Alarm;9;Zagrożenie pożarem;Alarm aktywny!;Pierwsza kategoria;0;
2018/03/21 15:10:05;0;B;Wersja oprogramowania;;M2017/0421#00  ;;;;
2018/03/21 15:10:06;0;B;Zdarzenie;2;Not Recognized event;Zdarzenie aktywne!;;0;
2018/03/21 15:23:32;0;B;SPA-5 Mode;;Mode: 1-Start;;;;;
2018/03/21 15:23:51;0;B;SPA-5 Mode;;Mode: 8-Active;;;;;
2018/03/21 15:23:54;0;B;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 15:23:54;0;B;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/21 15:23:54;0;B;Alarm;51;Amber road signals hardware failure;Alarm aktywny!;Pierwsza kategoria;0;
2018/03/21 15:23:54;0;B;Alarm;60;Not Recognized event;Alarm aktywny!;Pierwsza kategoria;0;
2018/03/21 15:23:54;0;B;Alarm;61;Not Recognized event;Alarm aktywny!;Pierwsza kategoria;0;
2018/03/21 15:23:54;0;B;Zdarzenie;0;Not Recognized event;Zdarzenie aktywne!;;0;
2018/03/21 15:23:54;0;B;Zdarzenie;2;Not Recognized event;Zdarzenie aktywne!;;0;
2018/03/21 15:23:54;0;B;Zdarzenie;3;Not Recognized event;Zdarzenie aktywne!;;0;
2018/03/21 15:23:54;0;B;Zdarzenie;4;Not Recognized event;Zdarzenie aktywne!;;0;
2018/03/21 15:23:54;0;B;Zdarzenie;5;Not Recognized event;Zdarzenie aktywne!;;0;
2018/03/21 15:23:54;0;B;Zdarzenie;8;Not Recognized event;Zdarzenie aktywne!;;0;
2018/03/21 15:23:54;0;B;Zdarzenie;9;Not Recognized event;Zdarzenie aktywne!;;0;
2018/03/21 15:23:54;0;B;Zdarzenie;14;Not Recognized event;Zdarzenie aktywne!;;0;
2018/03/21 15:23:54;0;B;ELS-95 Diagn.;1;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0, Poziom F2: 0;
Status A ?: ;
STS:;";;;
2018/03/21 15:23:54;0;B;ELS-95 Diagn.;2;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0, Poziom F2: 0;
Status A ?: ;
STS:;";;;
2018/03/21 15:23:54;0;B;ELS-95 Diagn.;3;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0, Poziom F2: 0;
Status A ?: ;
STS:;";;;
2018/03/21 15:23:54;0;B;ELS-95 Diagn.;4;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0, Poziom F2: 0;
Status A ?: ;
STS:;";;;
2018/03/21 15:23:54;0;B;ELS-95 Diagn.;5;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0, Poziom F2: 0;
Status A ?: ;
STS:;";;;
2018/03/21 15:23:54;0;B;ELS-95 Diagn.;6;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0, Poziom F2: 0;
Status A ?: ;
STS:;";;;
2018/03/21 15:23:54;0;B;ELS-95 Diagn.;7;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0, Poziom F2: 0;
Status A ?: ;
STS:;";;;
2018/03/21 15:23:54;0;B;ELS-95 Diagn.;8;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0, Poziom F2: 0;
Status A ?: ;
STS:;";;;
2018/03/21 15:24:25;0;B;Alarm;51;Amber road signals hardware failure;Alarm nie aktywny;Pierwsza kategoria;0;
2018/03/21 15:24:41;0;B;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 15:24:47;0;B;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0;
2018/03/21 15:24:47;0;B;Zdarzenie;3;Not Recognized event;Zdarzenie nie aktywne;;0;
2018/03/21 15:25:09;0;B;Alarm;60;Not Recognized event;Alarm nie aktywny;Pierwsza kategoria;0;
2018/03/21 15:25:09;0;B;Zdarzenie;4;Not Recognized event;Zdarzenie nie aktywne;;0;
2018/03/21 15:25:13;0;B;Zdarzenie;8;Not Recognized event;Zdarzenie nie aktywne;;0;
2018/03/21 15:25:17;0;B;Alarm;61;Not Recognized event;Alarm nie aktywny;Pierwsza kategoria;0;
2018/03/21 15:25:17;0;B;Zdarzenie;5;Not Recognized event;Zdarzenie nie aktywne;;0;
